sample_id,category,split
YELLOW FEVER__Diagnostic prompts__IGM antibody test confirm yellow fever finish ,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You experienced fever in past week ,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You experienced jaundice in past week ,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You experienced vomiting in past week,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You experienced yellow face in past week ,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You feel like vomiting in past week,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You got muscle pain before ,YELLOW FEVER,train
YELLOW FEVER__Screening prompts__You got muscle pain before -1,YELLOW FEVER,train
ASCARIASIS__Diagnostic prompts__STOOL Microscopy test  for ascariasis finish ,ASCARIASIS,val
ASCARIASIS__Screening prompts__you got abdominal pain before,ASCARIASIS,val
CHOLERA__Diagnostic prompts__PCR  diagnose cholera finish,CHOLERA,val
CHOLERA__Diagnostic prompts__STOOL culture to   diagnose cholera finish,CHOLERA,val
COVID__diagnostic prompts__You reffered for  nasopharyngeal swab test ,COVID,val
COVID__diagnostic prompts__you taken rt-lamp before,COVID,val
COVID__screening prompts__Anyone in your family got fever before,COVID,val
COVID__screening prompts__anyone in your household got loss appetite before,COVID,val
COVID__screening prompts__you currently suffering from shortness breath,COVID,val
COVID__screening prompts__you have dry cough combined with breathing difficulty,COVID,val
EBOLA VIRUS__Diagnostic prompts__Blood test done to diagnose ebola virus disease,EBOLA VIRUS,val
EBOLA VIRUS__Diagnostic prompts__Pcr done to diagnose ebola virus disease,EBOLA VIRUS,val
EBOLA VIRUS__Screening prompts__You experienced muscle pain before,EBOLA VIRUS,val
ECTOPIC PREGNANCY__Screening prompts__you got dizziness in pregnancy,ECTOPIC PREGNANCY,val
GONORRHEA__diagnostic prompts__Culture test to test gonorrhea finished ,GONORRHEA,val
GONORRHEA__diagnostic prompts__Nucleic acid amplification test to test gonorrhea finished,GONORRHEA,val
GONORRHEA__screening prompts__you experience pain in sex in past week ,GONORRHEA,val
HEPATITIS B__Screening prompts__You experienced fatigue before,HEPATITIS B,val
HEPATITIS B__Screening prompts__You experienced nausea before ,HEPATITIS B,val
HEPATITIS C__Diagnostic promts__HCV ANTIBODY test done to check  for hepatitis C,HEPATITIS C,val
HERPES SIMPLEX__Screening prompts__you experienced burning urination before ,HERPES SIMPLEX,val
HERPES SIMPLEX__Screening prompts__you experienced flu like symptoms before ,HERPES SIMPLEX,val
HIV__screening prompts__you experience weight loss before,HIV,val
HOOKWORM INFECTION__Screening prompts__you got itchy feet before ,HOOKWORM INFECTION,val
MALARIA__diagnostic prompts__Clinician finish pcr,MALARIA,val
MALARIA__diagnostic prompts__Lab person finished PCR,MALARIA,val
MALARIA__diagnostic prompts__Malaria rapid diagnostic test finished,MALARIA,val
MALARIA__screening prompts__you experience headcahe before,MALARIA,val
MALARIA__screening prompts__you experience joint pain before ,MALARIA,val
MALARIA__screening prompts__you got headache past few days,MALARIA,val
MOLLUSCUM CONTAGIUSUM__Diagnostic prompts__Clinical examination finish diagnose molluscum contagiusum,MOLLUSCUM CONTAGIUSUM,val
MOLLUSCUM CONTAGIUSUM__Diagnostic prompts__microscopy finish diagnose molluscum contagiusum ,MOLLUSCUM CONTAGIUSUM,val
PELVIC INFLAMMATORY DISEASE (PID)__Screening prompts__NAAT diagnose pelvic inflammatory disease finish ,PELVIC INFLAMMATORY DISEASE (PID),val
PLACENTA PREVIA__Diagnostic prompts__abdominal ultrasound used assess fro placenta previa,PLACENTA PREVIA,val
POSPARTUM HEMORRHAGE__Diagnostic prompts__Hemoglobin test used assess for postpartum hemorrhage,POSPARTUM HEMORRHAGE,val
POSPARTUM HEMORRHAGE__Screening prompts__you experienced fatigue during pregnancy ,POSPARTUM HEMORRHAGE,val
PREECLAMPSIA__HUMAN PAPILOMA VIRUS__Diagnostic prompts__you undergo biopsy for human papiloma virus finish,PREECLAMPSIA,val
PREECLAMPSIA__HUMAN PAPILOMA VIRUS__Diagnostic prompts__you undergo pap smear for human papilmoavirus finish,PREECLAMPSIA,val
PREECLAMPSIA__Screening prompts__you got headache during pregnancy ,PREECLAMPSIA,val
PRETERM  LABOR__Diagnostic prompts__pelvic exam used assess for preterm labor ,PRETERM  LABOR,val
SCHISTOSOMIASIS__Screening prompts__you got blood in urine before ,SCHISTOSOMIASIS,val
SCHISTOSOMIASIS__Screening prompts__you got fever before ,SCHISTOSOMIASIS,val
SUBSTANCE USE DISORDER__Diagnostic prompts__audit finish for substance use disorders assessment,SUBSTANCE USE DISORDER,val
SYPHILLIS__diagnostic prompts__TPHA test to test syphilis finish  ,SYPHILLIS,val
SYPHILLIS__screening prompts__you experience pain in sex in past week ,SYPHILLIS,val
TRICHURIASIS__Diagnostic prompts__Kato katz technique for trichuriasis finish ,TRICHURIASIS,val
TRICHURIASIS__Screening prompts__you got abdominal cramps before ,TRICHURIASIS,val
TUBERCLOSIS__diagnostic prompts__Your sputum tested using chest xray ,TUBERCLOSIS,val
TUBERCLOSIS__diagnostic prompts__Your sputum tested with tuberclin skin test ,TUBERCLOSIS,val
TUBERCLOSIS__diagnostic prompts__clinician requested sputum culture,TUBERCLOSIS,val
TUBERCLOSIS__diagnostic prompts__you reffered for sputum smear test,TUBERCLOSIS,val
TUBERCLOSIS__diagnostic prompts__you undergone sputum culture before ,TUBERCLOSIS,val
TUBERCLOSIS__screening prompts__you saw blood in sputum more in night ,TUBERCLOSIS,val
TYPHOID__Diagnostic prompts__blood culture diagnose typhoid fever finish,TYPHOID,val
YELLOW FEVER__Diagnostic prompts__PCR confirm yellow fever finish,YELLOW FEVER,val
YELLOW FEVER__Diagnostic prompts__Viral isolation confirm yellow fever finish ,YELLOW FEVER,val
